date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:28:43	663172/663172	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2028%20Aug%202019%2000:05:58%20GMT	https://templatemanja.com/tashan/demo/assets/fonts/fa-brands-400.svg	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/fonts/fa-brands-400.svg	(from https://templatemanja.com/tashan/demo/assets/css/all.min.css)
22:28:44	34388/34388	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2028%20Aug%202019%2000:05:52%20GMT	https://templatemanja.com/tashan/demo/assets/fonts/fa-regular-400.eot?	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/fonts/fa-regular-400d41d.eot	(from https://templatemanja.com/tashan/demo/assets/css/all.min.css)
22:28:45	13576/13576	---M--	200	added ('OK')	font/woff2	date:Wed,%2028%20Aug%202019%2000:05:50%20GMT	https://templatemanja.com/tashan/demo/assets/fonts/fa-regular-400.woff2	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/fonts/fa-regular-400.woff2	(from https://templatemanja.com/tashan/demo/assets/css/all.min.css)
22:28:47	16812/16812	---M--	200	added ('OK')	font/woff	date:Wed,%2028%20Aug%202019%2000:05:50%20GMT	https://templatemanja.com/tashan/demo/assets/fonts/fa-regular-400.woff	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/fonts/fa-regular-400.woff	(from https://templatemanja.com/tashan/demo/assets/css/all.min.css)
22:28:48	34092/34092	---M--	200	added ('OK')	font/ttf	date:Wed,%2028%20Aug%202019%2000:05:52%20GMT	https://templatemanja.com/tashan/demo/assets/fonts/fa-regular-400.ttf	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/fonts/fa-regular-400.ttf	(from https://templatemanja.com/tashan/demo/assets/css/all.min.css)
22:28:56	186512/186512	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2028%20Aug%202019%2000:05:48%20GMT	https://templatemanja.com/tashan/demo/assets/fonts/fa-solid-900.eot	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/fonts/fa-solid-900.eot	(from https://templatemanja.com/tashan/demo/assets/css/all.min.css)
22:28:57	186512/186512	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2028%20Aug%202019%2000:05:48%20GMT	https://templatemanja.com/tashan/demo/assets/fonts/fa-solid-900.eot?	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/fonts/fa-solid-900d41d.eot	(from https://templatemanja.com/tashan/demo/assets/css/all.min.css)
22:28:58	74316/74316	---M--	200	added ('OK')	font/woff2	date:Wed,%2028%20Aug%202019%2000:05:44%20GMT	https://templatemanja.com/tashan/demo/assets/fonts/fa-solid-900.woff2	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/fonts/fa-solid-900.woff2	(from https://templatemanja.com/tashan/demo/assets/css/all.min.css)
22:29:00	96248/96248	---M--	200	added ('OK')	font/woff	date:Wed,%2028%20Aug%202019%2000:05:46%20GMT	https://templatemanja.com/tashan/demo/assets/fonts/fa-solid-900.woff	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/fonts/fa-solid-900.woff	(from https://templatemanja.com/tashan/demo/assets/css/all.min.css)
22:29:01	186228/186228	---M--	200	added ('OK')	font/ttf	date:Wed,%2028%20Aug%202019%2000:05:46%20GMT	https://templatemanja.com/tashan/demo/assets/fonts/fa-solid-900.ttf	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/fonts/fa-solid-900.ttf	(from https://templatemanja.com/tashan/demo/assets/css/all.min.css)
22:29:04	820554/820554	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2028%20Aug%202019%2000:05:50%20GMT	https://templatemanja.com/tashan/demo/assets/fonts/fa-solid-900.svg	E:/javascript/Tashan/templatemanja.com/tashan/demo/assets/fonts/fa-solid-900.svg	(from https://templatemanja.com/tashan/demo/assets/css/all.min.css)
